,epsilon,accuracy
0,0.0,0.976
1,0.05,0.87
2,0.1,0.543
3,0.15000000000000002,0.192
4,0.2,0.076
5,0.25,0.02
6,0.30000000000000004,0.007
7,0.35000000000000003,0.004
8,0.4,0.004
9,0.45,0.003
10,0.5,0.003
11,0.55,0.002
12,0.6000000000000001,0.001
13,0.65,0.001
14,0.7000000000000001,0.001
