,epsilon,accuracy
0,0.0,0.9892
1,0.05,0.9825
2,0.1,0.9748
3,0.15000000000000002,0.9642
4,0.2,0.9495
5,0.25,0.9307
6,0.30000000000000004,0.9036
7,0.35000000000000003,0.8715
8,0.4,0.8341
9,0.45,0.7831
10,0.5,0.7186
11,0.55,0.6495
12,0.6000000000000001,0.5755
13,0.65,0.5002
14,0.7000000000000001,0.4288
