,epsilon,accuracy
0,0.0,0.985
1,0.05,0.969
2,0.1,0.942
3,0.15000000000000002,0.9
4,0.2,0.834
5,0.25,0.753
6,0.30000000000000004,0.66
7,0.35000000000000003,0.55
8,0.4,0.447
9,0.45,0.327
10,0.5,0.235
11,0.55,0.156
12,0.6000000000000001,0.1
13,0.65,0.067
14,0.7000000000000001,0.043
