,epsilon,accuracy
0,0.0,0.98
1,0.05,0.857
2,0.1,0.52
3,0.15000000000000002,0.211
4,0.2,0.069
5,0.25,0.027
6,0.30000000000000004,0.013
7,0.35000000000000003,0.003
8,0.4,0.002
9,0.45,0.002
10,0.5,0.002
11,0.55,0.001
12,0.6000000000000001,0.001
13,0.65,0.002
14,0.7000000000000001,0.002
