,epsilon,accuracy
0,0.0,0.956
1,0.05,0.75
2,0.1,0.285
3,0.15000000000000002,0.086
4,0.2,0.032
5,0.25,0.008
6,0.30000000000000004,0.004
7,0.35000000000000003,0.003
8,0.4,0.002
9,0.45,0.001
10,0.5,0.001
11,0.55,0.001
12,0.6000000000000001,0.001
13,0.65,0.001
14,0.7000000000000001,0.001
