Iteration, Displacement, Magnitude
1, 0.029209207743406296, 0.030434584245085716
2, 0.05772329494357109, 0.060150545090436935
3, 0.08551450818777084, 0.08912406861782074
4, 0.11256431043148041, 0.11733392626047134
5, 0.1388627141714096, 0.1447691172361374
6, 0.16440734267234802, 0.17142623662948608
7, 0.18920232355594635, 0.19730837643146515
8, 0.21325728297233582, 0.2224241942167282
9, 0.23658622801303864, 0.24678663909435272
10, 0.2592064142227173, 0.27041223645210266
11, 0.28113770484924316, 0.29332637786865234
12, 0.3024015724658966, 0.31554433703422546
13, 0.3230205476284027, 0.33708876371383667
14, 0.3430177867412567, 0.35798290371894836
15, 0.36241644620895386, 0.37824907898902893
16, 0.38123974204063416, 0.3979106843471527
17, 0.39951032400131226, 0.41699060797691345
18, 0.4172503650188446, 0.43551337718963623
19, 0.43448135256767273, 0.45350074768066406
20, 0.45122408866882324, 0.47097307443618774
21, 0.46749863028526306, 0.4879511892795563
22, 0.4833241403102875, 0.5044552683830261
23, 0.49871915578842163, 0.5205045342445374
24, 0.5137012600898743, 0.536117672920227
25, 0.5282871723175049, 0.5513124465942383
26, 0.5424931049346924, 0.5661059617996216
27, 0.556334376335144, 0.5805143117904663
28, 0.5698256492614746, 0.5945531129837036
29, 0.5829808115959167, 0.6082372665405273
30, 0.5958131551742554, 0.6215807795524597
31, 0.6083352565765381, 0.6346055865287781
32, 0.6205592751502991, 0.6473201513290405
33, 0.6324966549873352, 0.6597453355789185
34, 0.6441583037376404, 0.6718858480453491
35, 0.6555546522140503, 0.6837475299835205
36, 0.6666955947875977, 0.6953470706939697
37, 0.6775907278060913, 0.7067041397094727
38, 0.6882488131523132, 0.7178181409835815
39, 0.6986785531044006, 0.7286922931671143
40, 0.7088882327079773, 0.7393354773521423
41, 0.7188855409622192, 0.749755859375
42, 0.7286779880523682, 0.7599613070487976
43, 0.7382726669311523, 0.7699593305587769
44, 0.7476763129234314, 0.7797570824623108
45, 0.7568954229354858, 0.7893614172935486
46, 0.7659362554550171, 0.7987820506095886
47, 0.7748047709465027, 0.8080347180366516
48, 0.783506453037262, 0.8171125650405884
49, 0.7920469641685486, 0.8260211944580078
50, 0.8004311323165894, 0.8347668051719666
