Iteration, Displacement, Magnitude
1, 0.017800459638237953, 0.018942033872008324
2, 0.03559911251068115, 0.03785198926925659
3, 0.05339496582746506, 0.05672956630587578
4, 0.07118690013885498, 0.07557393610477448
5, 0.08897367119789124, 0.09438427537679672
6, 0.1067538931965828, 0.11315962672233582
7, 0.12452604621648788, 0.1318988800048828
8, 0.142288476228714, 0.15060068666934967
9, 0.1600392907857895, 0.16926349699497223
10, 0.1777764856815338, 0.18788543343544006
11, 0.1954977959394455, 0.20646432042121887
12, 0.21320070326328278, 0.2249976545572281
13, 0.2308824062347412, 0.24348445236682892
14, 0.24853992462158203, 0.2619257867336273
15, 0.26616981625556946, 0.2803123891353607
16, 0.2837683856487274, 0.29863983392715454
17, 0.30133163928985596, 0.3169032633304596
18, 0.3188551366329193, 0.33509722352027893
19, 0.33633413910865784, 0.35321590304374695
20, 0.35376375913619995, 0.3712528645992279
21, 0.3711386024951935, 0.3892100155353546
22, 0.38845327496528625, 0.4070758819580078
23, 0.4057021737098694, 0.42484042048454285
24, 0.4228798449039459, 0.44249647855758667
25, 0.43998077511787415, 0.46004602313041687
26, 0.45700007677078247, 0.4774869382381439
27, 0.47393298149108887, 0.4948035776615143
28, 0.49077555537223816, 0.5119902491569519
29, 0.5075244903564453, 0.5290431976318359
30, 0.5241772532463074, 0.5459657907485962
31, 0.5407323837280273, 0.5627648830413818
32, 0.5571891069412231, 0.5794265866279602
33, 0.5735476016998291, 0.5959517359733582
34, 0.5898089408874512, 0.61236172914505
35, 0.6059747338294983, 0.6286452412605286
36, 0.6220471262931824, 0.6448023319244385
37, 0.6380289196968079, 0.6608370542526245
38, 0.6539231538772583, 0.6767542958259583
39, 0.669732928276062, 0.6925587058067322
40, 0.6854614615440369, 0.7082602381706238
41, 0.7011120319366455, 0.7238729596138
42, 0.7166876196861267, 0.7393982410430908
43, 0.7321912050247192, 0.7548648118972778
44, 0.747625470161438, 0.7702488303184509
45, 0.7629928588867188, 0.7856034636497498
46, 0.7782952785491943, 0.8008851408958435
47, 0.7935349345207214, 0.8160945773124695
48, 0.8087130784988403, 0.8312401175498962
49, 0.8238310813903809, 0.8463215231895447
50, 0.8388898968696594, 0.8613346815109253
51, 0.8538902997970581, 0.8762810230255127
52, 0.868832528591156, 0.8911617994308472
53, 0.8837169408798218, 0.9059779047966003
54, 0.8985435366630554, 0.9207298755645752
55, 0.9133117198944092, 0.935417890548706
56, 0.9280215501785278, 0.9500422477722168
57, 0.9426719546318054, 0.9646113514900208
58, 0.9572622179985046, 0.9791181683540344
59, 0.9717915058135986, 0.9935628771781921
60, 0.9862585067749023, 1.007969856262207
61, 1.0006622076034546, 1.022310495376587
62, 1.0150011777877808, 1.0365837812423706
63, 1.0292736291885376, 1.0507887601852417
64, 1.0434786081314087, 1.064923882484436
65, 1.0576142072677612, 1.078987956047058
66, 1.071678638458252, 1.0929858684539795
67, 1.0856704711914062, 1.106940507888794
68, 1.0995877981185913, 1.1208196878433228
69, 1.1134287118911743, 1.1346213817596436
70, 1.1271916627883911, 1.148348093032837
71, 1.1408745050430298, 1.162003755569458
72, 1.1544758081436157, 1.1755961179733276
73, 1.1679935455322266, 1.189111590385437
74, 1.181425929069519, 1.202541470527649
75, 1.1947712898254395, 1.2158989906311035
76, 1.208027720451355, 1.2291805744171143
77, 1.221193790435791, 1.2423728704452515
78, 1.2342677116394043, 1.2554761171340942
79, 1.2472479343414307, 1.268487572669983
80, 1.260132908821106, 1.2814191579818726
81, 1.272921085357666, 1.2942538261413574
82, 1.2856112718582153, 1.3069899082183838
83, 1.2982020378112793, 1.3196260929107666
84, 1.310692310333252, 1.332161545753479
85, 1.3230804204940796, 1.3445948362350464
86, 1.335365891456604, 1.3569250106811523
87, 1.3475474119186401, 1.3691508769989014
88, 1.3596241474151611, 1.3812718391418457
89, 1.3715951442718506, 1.3932867050170898
90, 1.3834600448608398, 1.4051951169967651
91, 1.3952175378799438, 1.4169964790344238
92, 1.4068679809570312, 1.42868971824646
93, 1.4184099435806274, 1.440274953842163
94, 1.4298436641693115, 1.4517513513565063
95, 1.4411684274673462, 1.4631190299987793
96, 1.4523844718933105, 1.4743775129318237
97, 1.4634913206100464, 1.48552668094635
98, 1.4744890928268433, 1.4965667724609375
99, 1.4853777885437012, 1.5074971914291382
100, 1.4961575269699097, 1.518318772315979
101, 1.5068283081054688, 1.5290310382843018
102, 1.5173906087875366, 1.5396347045898438
103, 1.5278445482254028, 1.550130009651184
104, 1.5381906032562256, 1.5605170726776123
105, 1.5484288930892944, 1.5707966089248657
106, 1.5585606098175049, 1.5809688568115234
107, 1.568585753440857, 1.5910483598709106
108, 1.5785051584243774, 1.6010262966156006
109, 1.5883194208145142, 1.6108993291854858
110, 1.5980291366577148, 1.6206835508346558
111, 1.6076351404190063, 1.6303640604019165
112, 1.617138147354126, 1.6399407386779785
113, 1.6265391111373901, 1.6494148969650269
114, 1.6358389854431152, 1.6587872505187988
115, 1.645038366317749, 1.6680587530136108
116, 1.654138445854187, 1.6772304773330688
117, 1.6631399393081665, 1.6863032579421997
118, 1.6720436811447144, 1.6952778100967407
119, 1.6808514595031738, 1.704155445098877
120, 1.689563274383545, 1.7129369974136353
121, 1.6981807947158813, 1.7216235399246216
122, 1.7067046165466309, 1.730216383934021
123, 1.7151364088058472, 1.7387161254882812
124, 1.7234768867492676, 1.747124195098877
125, 1.7317270040512085, 1.7554415464401245
126, 1.7398878335952759, 1.7636693716049194
127, 1.7479608058929443, 1.771808385848999
128, 1.7559467554092407, 1.7798601388931274
