Iteration, Displacement, Magnitude
1, 0.02083858847618103, 0.023284148424863815
2, 0.041124869138002396, 0.045832566916942596
3, 0.06086845323443413, 0.06767642498016357
4, 0.08008207380771637, 0.08885426074266434
5, 0.09878013283014297, 0.10939694195985794
6, 0.11697778105735779, 0.12933366000652313
7, 0.13469022512435913, 0.1486872285604477
8, 0.15193256735801697, 0.16749154031276703
9, 0.16871948540210724, 0.18576884269714355
10, 0.1850653439760208, 0.20353972911834717
11, 0.20098409056663513, 0.2208361029624939
12, 0.21648937463760376, 0.23766891658306122
13, 0.23159445822238922, 0.25405165553092957
14, 0.24631229043006897, 0.27000120282173157
15, 0.26065555214881897, 0.28554174304008484
16, 0.27463653683662415, 0.30072468519210815
17, 0.2882672846317291, 0.31552404165267944
18, 0.30155956745147705, 0.3299511969089508
19, 0.31452476978302, 0.3440192639827728
20, 0.3271739184856415, 0.3577410876750946
21, 0.3395178020000458, 0.37113216519355774
22, 0.3515669107437134, 0.3842010796070099
23, 0.36333125829696655, 0.39696261286735535
24, 0.37482064962387085, 0.40942540764808655
25, 0.38604453206062317, 0.42160332202911377
26, 0.39701202511787415, 0.4335026741027832
27, 0.4077318608760834, 0.44513532519340515
28, 0.41821253299713135, 0.4565081000328064
29, 0.4284622371196747, 0.46762973070144653
30, 0.43848884105682373, 0.4785088300704956
31, 0.448299765586853, 0.489153653383255
32, 0.45790237188339233, 0.4995722770690918
33, 0.46730369329452515, 0.5097722411155701
34, 0.47651031613349915, 0.5197608470916748
35, 0.4855287969112396, 0.529545247554779
36, 0.49436521530151367, 0.5391321182250977
37, 0.5030255913734436, 0.5485280156135559
38, 0.5115156173706055, 0.5577390789985657
39, 0.5198407769203186, 0.5667713284492493
40, 0.528006374835968, 0.5756304860115051
41, 0.5360174179077148, 0.5843220949172974
42, 0.5438787341117859, 0.5928513407707214
43, 0.5515950918197632, 0.601223349571228
44, 0.5591709017753601, 0.6094430685043335
45, 0.5666103959083557, 0.6175194978713989
46, 0.5739179253578186, 0.6254616975784302
47, 0.5810971856117249, 0.6332647800445557
48, 0.5881522297859192, 0.6409330368041992
49, 0.5950866341590881, 0.6484702825546265
50, 0.6019038558006287, 0.6558803915977478
