Iteration, Displacement, Magnitude
1, 0.013176319189369678, 0.01599273830652237
2, 0.026326755061745644, 0.03195879980921745
3, 0.039451587945222855, 0.04789676144719124
4, 0.05255110561847687, 0.06380457431077957
5, 0.0656256303191185, 0.07968007773160934
6, 0.07867547124624252, 0.09552081674337387
7, 0.0917009487748146, 0.11132428795099258
8, 0.1047024056315422, 0.12708745896816254
9, 0.1176801547408104, 0.1428070068359375
10, 0.13063450157642365, 0.15847937762737274
11, 0.14356572926044464, 0.17410075664520264
12, 0.15647414326667786, 0.18966712057590485
13, 0.16936004161834717, 0.20517420768737793
14, 0.1822236180305481, 0.2206176519393921
15, 0.1950651854276657, 0.2359929233789444
16, 0.20788496732711792, 0.2512955367565155
17, 0.22068320214748383, 0.26652103662490845
18, 0.2334601730108261, 0.281665176153183
19, 0.24621613323688507, 0.296723872423172
20, 0.2589513957500458, 0.3116935193538666
21, 0.27166634798049927, 0.3265708088874817
22, 0.2843613028526306, 0.3413531482219696
23, 0.29703670740127563, 0.356038361787796
24, 0.30969303846359253, 0.37062492966651917
25, 0.3223307728767395, 0.38511213660240173
26, 0.3349504768848419, 0.3994998037815094
27, 0.3475527763366699, 0.41378843784332275
28, 0.36013832688331604, 0.42798522114753723
29, 0.37270769476890564, 0.44209617376327515
30, 0.38526156544685364, 0.4561314284801483
31, 0.39780062437057495, 0.4701065719127655
32, 0.41032540798187256, 0.48399817943573
33, 0.42283663153648376, 0.49780935049057007
34, 0.43533483147621155, 0.5115438103675842
35, 0.4478205740451813, 0.5252394080162048
36, 0.4602941870689392, 0.5388836860656738
37, 0.47275617718696594, 0.5524634718894958
38, 0.4852069020271301, 0.5659818053245544
39, 0.4976464807987213, 0.5794418454170227
40, 0.5100751519203186, 0.5928464531898499
41, 0.5224930047988892, 0.6061984300613403
42, 0.5348999500274658, 0.6195031404495239
43, 0.5472959280014038, 0.6327760219573975
44, 0.5596806406974792, 0.6460142135620117
45, 0.5720539093017578, 0.659209668636322
46, 0.5844151973724365, 0.6723650693893433
47, 0.5967641472816467, 0.6854934692382812
48, 0.6091000437736511, 0.6985839605331421
49, 0.6214222311973572, 0.7116376161575317
50, 0.6337299346923828, 0.7246652841567993
51, 0.6460223197937012, 0.7376676797866821
52, 0.6582982540130615, 0.7506477236747742
53, 0.6705568432807922, 0.7635990977287292
54, 0.6827968955039978, 0.7765213847160339
55, 0.6950170993804932, 0.7894132733345032
56, 0.7072162628173828, 0.80227130651474
57, 0.7193928360939026, 0.815095067024231
58, 0.7315453290939331, 0.8278838992118835
59, 0.7436723113059998, 0.8406378030776978
60, 0.7557719945907593, 0.8533579707145691
61, 0.7678428292274475, 0.8660598397254944
62, 0.7798828482627869, 0.8787237405776978
63, 0.7918903231620789, 0.8913503885269165
64, 0.8038633465766907, 0.9039419293403625
65, 0.8157999515533447, 0.916491687297821
66, 0.8276981115341187, 0.9290030598640442
67, 0.8395557999610901, 0.9414709210395813
68, 0.8513709902763367, 0.953892171382904
69, 0.8631414771080017, 0.9662649035453796
70, 0.8748649954795837, 0.9785875678062439
71, 0.8865397572517395, 0.9908841252326965
72, 0.8981631398200989, 1.003132700920105
73, 0.909733235836029, 1.015325903892517
74, 0.9212478399276733, 1.0274616479873657
75, 0.9327046275138855, 1.0395461320877075
76, 0.9441015124320984, 1.0515761375427246
77, 0.9554364085197449, 1.0635528564453125
78, 0.9667071104049683, 1.0754780769348145
79, 0.9779115319252014, 1.0873411893844604
80, 0.9890477061271667, 1.0991344451904297
81, 1.0001133680343628, 1.110856294631958
82, 1.0111067295074463, 1.1225045919418335
83, 1.0220260620117188, 1.1340887546539307
84, 1.0328692197799683, 1.1455973386764526
85, 1.0436346530914307, 1.157027006149292
86, 1.0543206930160522, 1.1683759689331055
87, 1.0649253129959106, 1.1796424388885498
88, 1.0754475593566895, 1.1908248662948608
89, 1.0858854055404663, 1.2019219398498535
90, 1.0962378978729248, 1.212931752204895
