Iteration, Displacement, Magnitude
1, -0.0025703110732138157, 0.002760586328804493
2, -0.00513940304517746, 0.005520448554307222
3, -0.007707076147198677, 0.008279254660010338
4, -0.010273127816617489, 0.011036587879061699
5, -0.012837355956435204, 0.013792060315608978
6, -0.015399560332298279, 0.016545496881008148
7, -0.017959538847208023, 0.019296538084745407
8, -0.02051708661019802, 0.022044790908694267
9, -0.023072008043527603, 0.024790216237306595
10, -0.025624092668294907, 0.027532143518328667
11, -0.028173144906759262, 0.03027050755918026
12, -0.030718959867954254, 0.033004872500896454
13, -0.033261336386203766, 0.03573465347290039
14, -0.03580006957054138, 0.03845951706171036
15, -0.038334961980581284, 0.041179683059453964
16, -0.040865808725357056, 0.04389524459838867
17, -0.04339241236448288, 0.04660528898239136
18, -0.04591457545757294, 0.049309536814689636
19, -0.04843209683895111, 0.052007369697093964
20, -0.05094478279352188, 0.054698407649993896
21, -0.05345243960618973, 0.05738230049610138
22, -0.05595486983656883, 0.0600595697760582
23, -0.05845189467072487, 0.06273011118173599
24, -0.06094332039356232, 0.06539303064346313
25, -0.06342896819114685, 0.0680481344461441
26, -0.06590866297483444, 0.0706963762640953
27, -0.06838223338127136, 0.07333743572235107
28, -0.07084950059652328, 0.07596975564956665
29, -0.07331031560897827, 0.07859580218791962
30, -0.07576450705528259, 0.0812126100063324
31, -0.07821193337440491, 0.0838199257850647
32, -0.08065245300531387, 0.08641765266656876
33, -0.08308592438697815, 0.08900587260723114
34, -0.08551222085952759, 0.0915839672088623
35, -0.08793120831251144, 0.09415175020694733
36, -0.09034277498722076, 0.09670902788639069
37, -0.09274682402610779, 0.099256232380867
38, -0.09514324367046356, 0.1017928421497345
39, -0.09753194451332092, 0.10431868582963943
40, -0.0999128445982933, 0.10683444887399673
41, -0.10228586196899414, 0.10934121161699295
42, -0.10465092957019806, 0.11183883249759674
43, -0.10700798034667969, 0.11432518810033798
44, -0.10935696959495544, 0.11680064350366592
45, -0.11169783771038055, 0.1192653626203537
46, -0.11403055489063263, 0.12172068655490875
47, -0.11635507643222809, 0.12416702508926392
48, -0.11867137998342514, 0.1266026496887207
49, -0.120979443192482, 0.1290271133184433
50, -0.12327925860881805, 0.13144077360630035
51, -0.12557080388069153, 0.13384392857551575
52, -0.12785407900810242, 0.13623708486557007
53, -0.13012908399105072, 0.13861995935440063
54, -0.13239581882953644, 0.14099177718162537
55, -0.13465431332588196, 0.1433524191379547
56, -0.1369045525789261, 0.14570194482803345
57, -0.1391465812921524, 0.14804035425186157
58, -0.1413803994655609, 0.15036773681640625
59, -0.143606036901474, 0.15268489718437195
60, -0.14582355320453644, 0.15499158203601837
61, -0.14803293347358704, 0.15728749334812164
62, -0.15023422241210938, 0.15957269072532654
63, -0.15242747962474823, 0.16184896230697632
64, -0.1546127200126648, 0.16411547362804413
65, -0.15678998827934265, 0.16637198626995087
66, -0.15895932912826538, 0.16861911118030548
67, -0.16112080216407776, 0.1708560585975647
68, -0.16327440738677979, 0.1730850338935852
69, -0.16542023420333862, 0.1753043532371521
70, -0.16755831241607666, 0.17751455307006836
71, -0.16968870162963867, 0.17971736192703247
72, -0.17181141674518585, 0.18191280961036682
73, -0.17392656207084656, 0.18409888446331024
74, -0.1760341376066208, 0.18627551198005676
75, -0.17813421785831451, 0.18844352662563324
76, -0.1802268624305725, 0.1906028389930725
77, -0.18231210112571716, 0.19275307655334473
78, -0.18439000844955444, 0.19489431381225586
79, -0.18646062910556793, 0.19702666997909546
80, -0.18852399289608002, 0.19915127754211426
81, -0.19058018922805786, 0.20126742124557495
82, -0.19262923300266266, 0.20337501168251038
83, -0.19467119872570038, 0.20547454059123993
84, -0.1967061460018158, 0.20756566524505615
85, -0.1987341046333313, 0.2096494734287262
86, -0.20075513422489166, 0.21172553300857544
87, -0.20276929438114166, 0.21379345655441284
88, -0.20477662980556488, 0.21585330367088318
89, -0.2067771852016449, 0.217905193567276
90, -0.2087710201740265, 0.21994920074939728
91, -0.21075817942619324, 0.22198541462421417
92, -0.21273872256278992, 0.22401389479637146
93, -0.21471267938613892, 0.2260347604751587
94, -0.216680109500885, 0.22804805636405945
95, -0.21864107251167297, 0.2300538867712021
96, -0.220595583319664, 0.23205232620239258
97, -0.22254371643066406, 0.23404373228549957
98, -0.22448551654815674, 0.23602941632270813
99, -0.2264210283756256, 0.23800796270370483
100, -0.22835029661655426, 0.23997941613197327
101, -0.23027336597442627, 0.24194388091564178
102, -0.23219028115272522, 0.2439020276069641
103, -0.2341010719537735, 0.24585556983947754
104, -0.23600581288337708, 0.24780452251434326
105, -0.23790451884269714, 0.24974679946899414
106, -0.23979724943637848, 0.25168249011039734
107, -0.24168403446674347, 0.25361162424087524
108, -0.2435649335384369, 0.255534291267395
109, -0.24543997645378113, 0.25745058059692383
110, -0.24730919301509857, 0.25936049222946167
111, -0.2491726577281952, 0.2612641453742981
112, -0.2510303556919098, 0.2631615400314331
113, -0.2528823912143707, 0.26505279541015625
114, -0.2547287344932556, 0.2669379413127899
115, -0.256569504737854, 0.2688170075416565
116, -0.2584046721458435, 0.27069008350372314
117, -0.2602342963218689, 0.2725587487220764
118, -0.26205843687057495, 0.2744218111038208
119, -0.26387709379196167, 0.2762790620326996
120, -0.26569032669067383, 0.27813059091567993
121, -0.2674981355667114, 0.2799763083457947
122, -0.2693006098270416, 0.28181642293930054
123, -0.27109774947166443, 0.28365302085876465
124, -0.2728896141052246, 0.28548458218574524
125, -0.27467620372772217, 0.2873106300830841
126, -0.2764575779438019, 0.28913116455078125
